year,team,rswp,ps_points,qb_cap_share,rb_cap_share,wr_cap_share,te_cap_share,ol_cap_share,dl_cap_share,lb_cap_share,sec_cap_share,st_cap_share,norm_total_spend,traded_from,traded_to,norm_fa_spend,ext_spend_rank,avg_age,qb_pa,rb_pa,wr_pa,te_pa,ol_pa,dl_pa,lb_pa,sec_pa,st_pa
2021,NO,0.529,0,0.08439468,0.060582236,0.110945241,0.026521444,0.214340581,0.183870419,0.085237852,0.195934788,0.03817276,135522713,1,0,45807500,7,26,0.168571429,0.124942085,0.092169884,0.035984556,0.147459459,0.133930502,0.082671815,0.20642471,0.00784556
2021,NYG,0.235,0,0.054633459,0.08242613,0.105336956,0.081227958,0.186758726,0.119494276,0.098211455,0.225011064,0.046899975,160511236,3,4,157452500,11,25.6,0.009592734,0.002282828,0.033271001,0.020885446,0.294679068,0.427423076,0.126526945,0.085338903,0
2021,NYJ,0.235,0,0.047101029,0.023823976,0.173050066,0.028792815,0.268587095,0.208572629,0.096324706,0.141791525,0.011956158,167681623,2,1,134705000,30,25.1,0.145272581,0.226081536,0.075441315,0,0.21598691,0.129212948,0.055182803,0.152821907,0
2021,PHI,0.529,1,0.021050038,0.028846663,0.077860507,0.041048621,0.30626374,0.315699501,0.030391845,0.151836529,0.027002557,124593127,3,2,25240000,24,25.9,0.408436699,0.016364433,0.073311312,0.00674127,0.212771336,0.244354186,0.002275179,0.034616422,0.001129163
2021,PIT,0.559,1,0.20867138,0.035667021,0.056037679,0.048450678,0.100434621,0.165014297,0.129438627,0.213552531,0.042733166,143062580,0,2,46805000,21,25.6,0.070211169,0.071426019,0.439918534,0.073248294,0.242469718,0.0595991,0.017758245,0.025368921,0
2021,SF,0.588,3,0.194120552,0.052495477,0.053605272,0.046822715,0.176764708,0.252554157,0.054984696,0.14120047,0.027451953,167941821,1,0,202032500,5,26.5,0.000370645,0.157458684,0.14612131,0.020385471,0.070248114,0.281646536,0.199690402,0.11749444,0.006584398
2021,SEA,0.412,0,0.214583863,0.05636424,0.079979472,0.038489506,0.170393218,0.132267776,0.145418508,0.112311385,0.050192032,156151080,1,3,73365000,2,26.4,0.207164112,0.015273645,0.186353535,0.003126295,0.173547026,0.352649817,0.025481186,0.029436137,0.006968247
2021,TB,0.765,2,0.080462082,0.04526322,0.163736159,0.064613756,0.192106598,0.11835886,0.19877947,0.09422831,0.042451545,168427323,0,0,58045000,8,26.7,0.03354704,0.090825506,0.013543064,0,0.173202127,0.224392426,0.224939118,0.235450524,0.004100194
2021,TEN,0.706,2,0.078742581,0.108209129,0.063690758,0.047187698,0.267013998,0.069743868,0.135157021,0.19235658,0.037898367,150871356,1,1,163902500,25,26.4,0.002057424,0.023513419,0.087036391,0,0.218601319,0.171519371,0.264379007,0.232893069,0
2021,WAS,0.412,0,0.07724905,0.021839863,0.065542268,0.038394767,0.250299568,0.197831039,0.063423835,0.262554749,0.022864861,170684222,0,1,0,29,26,0.120764613,0.073608907,0.049962045,0.005520668,0.090285925,0.514986313,0.107261979,0.037494537,0.000115014
2020,ARI,0.5,0,0.053956613,0.059763023,0.128422184,0.027833207,0.163582896,0.062779446,0.28966673,0.177090379,0.036905523,160976253.2,1,1,61410697.87,9,26.1,0.435020132,0.005898064,0.094105983,0.000101167,0.045849099,0.037735467,0.258887562,0.122402525,0
2020,ATL,0.25,0,0.127242251,0.055405817,0.158638303,0.017342962,0.211969835,0.191251695,0.077559607,0.146072225,0.014517305,152068504.5,0,2,56180541.35,25,26.9,0,0.017492612,0.123131587,0.003450691,0.331061344,0.223526196,0.047968021,0.253198722,0.000170826
